ticket_id,message,intent,source_intent,source_row
BTX-0001,i purchased an item but i chose a wrong omdel is it possible to modify my fucking order,order_change,change_order,5686
BTX-0002,I got  to update my online order before you send it,order_change,change_order,5693
BTX-0003,help me change my fucking order before you send it,order_change,change_order,5702
BTX-0004,i purchased a fucking product but i chose a wrong color how to modify my fucking online order,order_change,change_order,5707
BTX-0005,I need help to change my fucking online order before you send it,order_change,change_order,5722
BTX-0006,"I bought a product but I chose a wrong color,I would like to modify my fucking online order",order_change,change_order,5726
BTX-0007,"I bought an item but I chose a wrong size, how to update my order ?",order_change,change_order,5730
BTX-0008,"I bought an item but I chose a wrong color, I need to update my order",order_change,change_order,5733
BTX-0009,"I bought a product but I chose a wrong model , I have to modify my online order",order_change,change_order,5735
BTX-0010,i bought a fucking item but i chose a wrong model can i modify my online order,order_change,change_order,5739
BTX-0011,"I purchased a fucking item but I chose a wrong color, I would like to change my fucking online order",order_change,change_order,5749
BTX-0012,"I purchased a fucking item but I chose a wrong model, I got to change my fucking order",order_change,change_order,5751
BTX-0013,"I purchased a fucking product ubt I chose a wrong color, how could I update my order?",order_change,change_order,5759
BTX-0014,"I bought a product but I chose a wrong size, I'd like to change  my order",order_change,change_order,5770
BTX-0015,I got to change ym order before you send it,order_change,change_order,5783
BTX-0016,can uhelp me change my fucking order before usend it,order_change,change_order,5799
BTX-0017,"I bought a fucking item but I chose a wrong color, I want to modify my fucking online order",order_change,change_order,5802
BTX-0018,"I bought a fucking item but I chose a wrong size, how could Ichange my fucking order?",order_change,change_order,5821
BTX-0019,i purchased a product but i chose a wrong color i got ot update my online order,order_change,change_order,5828
BTX-0020,"I bought a fucking item but I chose a wrong size, I wantg to modify my online order",order_change,change_order,5831
BTX-0021,"I bought an item but I chose a wrong color, how could I update my fucking online order?",order_change,change_order,5837
BTX-0022,i purchased a fucking item but i chosxe a wrong model I'd like to update my order,order_change,change_order,5872
BTX-0023,"I need to change my fucking order before you send it, where to do it?",order_change,change_order,5878
BTX-0024,wanna update my fucking online order before ya send it will ya help me,order_change,change_order,5881
BTX-0025,"I bought an item but I chose a wrong model, would it be possible to update my fucking order?",order_change,change_order,5894
BTX-0026,"I purchased a fucking product but I chose a wrong size, could I change my fucking order?",order_change,change_order,5898
BTX-0027,i want help changing my fucking order before ya send it,order_change,change_order,5907
BTX-0028,i purchased a fucking item but i chose a wrong size i have to update my order,order_change,change_order,5917
BTX-0029,"I purchased a fucking product but I chose a wrong color, is it possible to update my order?",order_change,change_order,5924
BTX-0030,id like to change my order before ya send it will ya help  me,order_change,change_order,5928
BTX-0031,"I bought an item but I chose an wrong size, would it be possible to update my fucking order?",order_change,change_order,5940
BTX-0032,"I purchased a fucking item but I chose a wrong model, I have to update my onlkne order",order_change,change_order,5949
BTX-0033,"I purchased a product but I chose a wrong oclor, I need to update my online order",order_change,change_order,5961
BTX-0034,"I purchased a fucking item but I chose a wrong model, could I change my fucking order?",order_change,change_order,5962
BTX-0035,"I bought a fucking item but I chose a wrng size, I want to change my fucking online order",order_change,change_order,5968
BTX-0036,i purchased a product but i chose a wrfong size could i modify my order,order_change,change_order,5997
BTX-0037,"I purchased a fucking product but I chosae a wrong size, I got to update my online order",order_change,change_order,6007
BTX-0038,"I bought a product but I chose a wrong size, could I moidfy my order?",order_change,change_order,6014
BTX-0039,"I purchased an item but I chose a wrong size, how can I modify my order ?",order_change,change_order,6040
BTX-0040,i purchased a product but i chose a wrong size is it possible to modify my fucking order,order_change,change_order,6043
BTX-0041,"I bought a fucking product but I chose a wrong color, I have to update my online order",order_change,change_order,6044
BTX-0042,"I purchased a product but I chose a wrong model, I got to update my online order",order_change,change_order,6051
BTX-0043,"I bought an item but I chose a wrong model, how could I modify my order?",order_change,change_order,6091
BTX-0044,"I have to modify my ufcking order before you send it, where could I do it?",order_change,change_order,6093
BTX-0045,"I bought a product but I chose a wrong color, how can I change my order?",order_change,change_order,6099
BTX-0046,could i change my fucking online order before usend it,order_change,change_order,6102
BTX-0047,"I bought a fucking item but I chose a wrong size, can I modify my order?",order_change,change_order,6110
BTX-0048,i purchased an item but i chose a wrong size how to modify my ufcking order,order_change,change_order,6112
BTX-0049,I'd like to change my fucking online order before ya send it can i  get some help,order_change,change_order,6127
BTX-0050,"I bought a fucking product but I chose  a wrong color, how to change my online order?",order_change,change_order,6128
BTX-0051,i purchased a product but i chose a wrong color id like to change my fucking onlone order,order_change,change_order,6130
BTX-0052,"I would like to change  my order before you send it, help me",order_change,change_order,6141
BTX-0053,"I would like to update my order before you send it, where can I do it?",order_change,change_order,6144
BTX-0054,"I'd like to change my online order before you send it, can you help me?",order_change,change_order,6157
BTX-0055,"I purchased a fucking item but I chose a wron model, is it possible to update my order?",order_change,change_order,6162
BTX-0056,"I bought a product but I chose a wrong modeel, how do I modify my fucking order?",order_change,change_order,6163
BTX-0057,"I purchased a fucking item but I chose a wrong size, I want to modify my order",order_change,change_order,6188
BTX-0058,i purchased a product but i chose a wrong color would it be possible to change my fucking order,order_change,change_order,6193
BTX-0059,i bought a fucking product but i chose a wrong size i got to change my fucking order,order_change,change_order,6196
BTX-0060,I'd like to modify my fucking oredr before ya send it where could i do it,order_change,change_order,6210
BTX-0061,"I purchased a fucking item but I chose a wrong model, I would like to update my online order",order_change,change_order,6235
BTX-0062,wanna change my fucking order before ya esnd it could i get some help,order_change,change_order,6239
BTX-0063,"I bought an item but I chose a wrong color , I got to update my order",order_change,change_order,6246
BTX-0064,i bought a product but i chose a wrong size is it possible to change my order,order_change,change_order,6251
BTX-0065,i bought a ufcking item but i chose a wrong model how could i update my fucking order,order_change,change_order,6259
BTX-0066,"I bought a fucking item but I chose a wrong color, I want to update my fucking order",order_change,change_order,6261
BTX-0067,i got to update my online order before usend it were could i do it,order_change,change_order,6291
BTX-0068,"I have to modify my onlne order before you send it, I need assistance",order_change,change_order,6292
BTX-0069,"I purchased a fucking product but I chose a wrong size, how could I update my fucking order?",order_change,change_order,6306
BTX-0070,"I purchased an item but Ichose a wrong size, is it possible to modify my order?",order_change,change_order,6312
BTX-0071,i have to modify my order before udend it how could i do it,order_change,change_order,6313
BTX-0072,i purchased a product but i chose a wrong model how to change my fucking online order,order_change,change_order,6321
BTX-0073,i bought a produdt but i chose a wrong color i have to update my fucking online order,order_change,change_order,6329
BTX-0074,i bought an fucking item but i chose a wrong size how to modify my order,order_change,change_order,6350
BTX-0075,"I bought a product but I chose a wrong color, can I update my fucking order?",order_change,change_order,6355
BTX-0076,i purchased a fucking product but i chose a wrong size I'd like to change  my order,order_change,change_order,6356
BTX-0077,i purchased a fucking product but i chose a wrong size i got to modify my fucking order,order_change,change_order,6369
BTX-0078,wanna change my fucking online order before usend it how do i do  it,order_change,change_order,6376
BTX-0079,"I bought a fucking item but I chose a wrong color, I would like to modify my order",order_change,change_order,6398
BTX-0080,could uhelp meupdate my online order before usend it,order_change,change_order,6400
BTX-0081,i bought an fucking item but i chose a wrong size i have to update my order,order_change,change_order,6403
BTX-0082,"I need to update my order before you send it, could I get some helpo?",order_change,change_order,6440
BTX-0083,i purchasedd an item but i chose a wrong model id like to modify my fucking order,order_change,change_order,6449
BTX-0084,id like to modify my fucking online order befire ya send it will ya help me,order_change,change_order,6450
